(10,),0.8913043478260869
(20,),0.782608695652174
(30,),0.7989130434782609
(40,),0.8097826086956522
(50,),0.8043478260869565
(60,),0.8206521739130435
(70,),0.7989130434782609
(80,),0.7771739130434783
(10, 20),0.7989130434782609
(10, 30),0.8206521739130435
(10, 40),0.7445652173913043
(10, 50),0.8260869565217391
(10, 60),0.8315217391304348
(10, 70),0.8097826086956522
(10, 80),0.8043478260869565
(20, 10),0.7880434782608695
(20, 30),0.8043478260869565
(20, 40),0.7934782608695652
(20, 50),0.7717391304347826
(20, 60),0.8478260869565217
(20, 70),0.8043478260869565
(20, 80),0.8043478260869565
(30, 10),0.8478260869565217
(30, 20),0.7934782608695652
(30, 40),0.8478260869565217
(30, 50),0.7934782608695652
(30, 60),0.8369565217391305
(30, 70),0.8532608695652174
(30, 80),0.782608695652174
(40, 10),0.7989130434782609
(40, 20),0.8260869565217391
(40, 30),0.8206521739130435
(40, 50),0.8097826086956522
(40, 60),0.7880434782608695
(40, 70),0.8315217391304348
(40, 80),0.8206521739130435
(50, 10),0.842391304347826
(50, 20),0.8152173913043478
(50, 30),0.8478260869565217
(50, 40),0.782608695652174
(50, 60),0.8478260869565217
(50, 70),0.8206521739130435
(50, 80),0.7989130434782609
(60, 10),0.8097826086956522
(60, 20),0.842391304347826
(60, 30),0.7880434782608695
(60, 40),0.7880434782608695
(60, 50),0.842391304347826
(60, 70),0.8043478260869565
(60, 80),0.8097826086956522
(70, 10),0.8206521739130435
(70, 20),0.8315217391304348
(70, 30),0.8206521739130435
(70, 40),0.7880434782608695
(70, 50),0.8260869565217391
(70, 60),0.8097826086956522
(70, 80),0.8043478260869565
(80, 10),0.8260869565217391
(80, 20),0.782608695652174
(80, 30),0.8206521739130435
(80, 40),0.8097826086956522
(80, 50),0.7717391304347826
(80, 60),0.7989130434782609
(80, 70),0.8478260869565217
(10, 20, 30),0.8369565217391305
(10, 20, 40),0.8206521739130435
(10, 20, 50),0.8097826086956522
(10, 20, 60),0.7880434782608695
(10, 20, 70),0.8369565217391305
(10, 20, 80),0.842391304347826
(10, 30, 20),0.8097826086956522
(10, 30, 40),0.7989130434782609
(10, 30, 50),0.8097826086956522
(10, 30, 60),0.7663043478260869
(10, 30, 70),0.782608695652174
(10, 30, 80),0.8315217391304348
(10, 40, 20),0.8260869565217391
(10, 40, 30),0.8260869565217391
(10, 40, 50),0.8097826086956522
(10, 40, 60),0.7934782608695652
(10, 40, 70),0.8097826086956522
(10, 40, 80),0.7771739130434783
(10, 50, 20),0.8043478260869565
(10, 50, 30),0.7989130434782609
(10, 50, 40),0.8315217391304348
(10, 50, 60),0.7934782608695652
(10, 50, 70),0.8532608695652174
(10, 50, 80),0.7608695652173914
(10, 60, 20),0.8532608695652174
(10, 60, 30),0.842391304347826
(10, 60, 40),0.8315217391304348
(10, 60, 50),0.782608695652174
(10, 60, 70),0.8097826086956522
(10, 60, 80),0.8260869565217391
(10, 70, 20),0.8043478260869565
(10, 70, 30),0.7880434782608695
(10, 70, 40),0.875
(10, 70, 50),0.842391304347826
(10, 70, 60),0.8152173913043478
(10, 70, 80),0.7608695652173914
(10, 80, 20),0.8260869565217391
(10, 80, 30),0.842391304347826
(10, 80, 40),0.8206521739130435
(10, 80, 50),0.7989130434782609
(10, 80, 60),0.8206521739130435
(10, 80, 70),0.8478260869565217
(20, 10, 30),0.8097826086956522
(20, 10, 40),0.8152173913043478
(20, 10, 50),0.7934782608695652
(20, 10, 60),0.8043478260869565
(20, 10, 70),0.7391304347826086
(20, 10, 80),0.8260869565217391
(20, 30, 10),0.75
(20, 30, 40),0.7989130434782609
(20, 30, 50),0.7989130434782609
(20, 30, 60),0.8097826086956522
